provider	synonym_name	AphiaID
worms	Syracorhabdus	115084
worms	Chrysocampanula	115090
worms	Erkenia	115090
worms	Anthosphaera quadricornu	115093
worms	Syracosphaera quadricornu	115093
worms	Syracosphaera quatricornu	115093
worms	Meringosphaera hydroidea	115099
worms	Syracorhabdus fertii	115099
worms	Coccolithus huxleyi	115104
worms	Gephyrocapsa huxleyi	115104
worms	Hymenomonas huxleyi	115104
worms	Pontosphaera huxleyi	115104
worms	Tetraspora pouchetii	115106
worms	Chrysocampanula spinifera	115129
worms	Bodo cephaloporus	118040
worms	Dictyocha tripartita	118051
worms	Cryptobia libera	118052
worms	Tetramitus rotundata	118070
worms	Rhizomonas setigera	118073
worms	Telonema subtilis	118075
worms	Bodo marinus	119077
worms	Chilomonas marina	119077
worms	Copromastix	120561
worms	Filosea	1282
worms	Acutodesmus acuminatus	1289276
worms	Scenedesmus acuminatus	1289276
worms	Scenedesmus acuminatus var. elongatus	1289276
worms	Scenedesmus acuminatus var. minor	1289276
worms	Scenedesmus falcatus	1289276
worms	Scenedesmus obliquus var. acuminatus	1289276
worms	Selenastrum acuminatum	1289276
worms	Achnanthes amoena	1292123
worms	Karayevia amoena	1292123
worms	Fragilaria heidenii	1296717
worms	Fragilaria inflata var. inflata	1296717
worms	Fragilaria virescens var. inflata	1296717
worms	Synedra inflata	1296717
worms	Cyclotella polymorpha	1304220
worms	Cyclotella rossii	1304225
worms	Ochromonas malhamensis	1304857
worms	Poterioochromonas malhamensis	1304857
worms	Heterocapsa quadridentata	1305343
worms	Peridinium quinquecorne	1305343
worms	Protoperidinium quinquecorne	1305343
worms	Ochromonas danica	1305802
worms	Spiniferomonas bilacunosa	1306048
worms	Ochromonas moestrupii	1306051
worms	Docidium dilatatum	1306571
worms	Docidium ehrenbergii	1306571
worms	Docidium ehrenbergii var. delpontei	1306571
worms	Pleurotaenium ehrenbergii	1306571
worms	Pleurotaenium ehrenbergii var. constrictum	1306571
worms	Pleurotaenium ehrenbergii var. granulatum	1306571
worms	Phycastrum mucronatum	1306572
worms	Staurastrum dejectum var. mucronatum	1306572
worms	Staurastrum mucronatum	1306572
worms	Staurodesmus mucronatus	1306572
worms	Staurodesmus mucronatus var. mucronatus	1306572
worms	Anabaena raciborskii	1308940
worms	Cylindrospermopsis raciborskii	1308940
worms	Chlorhormidium subtile	1309804
worms	Chlorhormidium subtilissimum	1309804
worms	Hormidium subtile	1309804
worms	Hormidium subtilissimum	1309804
worms	Hormiscia subtilis	1309804
worms	Hormiscia subtilis var. subtilissima	1309804
worms	Klebsormidium subtilissimum	1309804
worms	Lyngbya thompsonii	1309804
worms	Stichococcus subtilis	1309804
worms	Ulothrix subtilis	1309804
worms	Ulothrix subtilis subsp. subtilissima	1309804
worms	Ulothrix subtilis var. subtilissima	1309804
worms	Ulothrix subtilis var. variabilis	1309804
worms	Ulothrix subtilissima	1309804
worms	Aphanocapsa stagnalis	1310066
worms	Microcystis stagnalis	1310066
worms	Polycystis stagnalis	1310066
worms	Acrochaetium pectinatum	1310072
worms	Acrochaetium penetrans	1310072
worms	Audouinella pectinata	1310072
worms	Chantransia pectinata	1310072
worms	Chantransia pectinata var. cimbrica	1310072
worms	Chantransia penetrans	1310072
worms	Colaconema pectinatum	1310072
worms	Rhodochorton pectinatum	1310072
worms	Cannopilus calyptra	1310442
worms	Dictyocha aculeata	1310442
worms	Dictyocha speculum	1310442
worms	Distephanus speculum	1310442
worms	Stephanocha speculum	1310442
worms	Gloeotila turfosa	1311314
worms	Acrocladus pygmaeus	1311361
worms	Cladophora pygmaea	1311361
worms	Ilea zosterifolia	1311362
worms	Petalonia fascia var. zosterifolia	1311362
worms	Petalonia zosterifolia	1311362
worms	Phyllitis zosterifolia	1311362
worms	Gayella constricta	1312599
worms	Rosenvingiella constricta	1312599
worms	Schizomeris constricta	1312599
worms	Acrochaete cladophorae	1312611
worms	Endoderma cladophorae	1312611
worms	Entocladia cladophorae	1312611
worms	Geitlerinema amphibium	1313613
worms	Geitlerinema unigranulatum	1313613
worms	Lyngbya amphibia	1313613
worms	Lyngbya amphibia	1313613
worms	Lyngbya laminosa var. amphibia	1313613
worms	Oscillatoria amphibia	1313613
worms	Oscillatoria amphibia f. circinata	1313613
worms	Oscillatoria amphibia f. contorta	1313613
worms	Oscillatoria quadripunctulata var. unigranulata	1313613
worms	Phormidium amphibium	1313613
worms	Chroococcus microscopicus	1315861
worms	Geitlerinema acutissimum	1315979
worms	Oscillatoria acutissima	1315979
worms	Phormidium acutissimum	1315979
worms	Geitlerinema exile	1316001
worms	Oscillatoria exilis	1316001
worms	Calciodinellum faeroense	1321853
worms	Glenodinium acuminatum	1321853
worms	Glenodinium trochoideum	1321853
worms	Goniodoma acuminatum	1321853
worms	Goniodoma lacustris	1321853
worms	Heteraulacus acuminatus	1321853
worms	Peridinium acuminatum	1321853
worms	Peridinium faeroense	1321853
worms	Peridinium trochoideum	1321853
worms	Scrippsiella faeroense	1321853
worms	Scrippsiella faeroensis	1321853
worms	Scrippsiella faeronese	1321853
worms	Scrippsiella trochoidea	1321853
worms	Biddulphia granulata	1322477
worms	Denticella granulata	1322477
worms	Odontella granulata	1322477
worms	Arthrospira fusiformis	1327367
worms	Arthrospira platensis f. minor	1327367
worms	Spirulina fusiformis	1327367
worms	Spirulina geitleri	1327367
worms	Aulacochlamys roscoffensis	1327470
worms	Cricosphaera roscoffensis	1327470
worms	Hymenomonas roscoffensis	1327470
worms	Pleurochrysis roscoffensis	1327470
worms	Pontosphaera roscoffensis	1327470
worms	Syracolithus roscoffensis	1327470
worms	Syracosphaera roscoffensis	1327470
worms	Arthrospira maxima	1327751
worms	Spirulina maxima	1327751
worms	Decussata	1330467
worms	Decussata placenta	1330468
worms	Navicula placenta	1330468
worms	Delicata	1334251
worms	Cocconema delicatulum	1334252
worms	Cymbella delicatula	1334252
worms	Delicata delicatula	1334252
worms	Delicata delicatula var. alpestris	1334254
worms	Euastrum ansatum var. dideltiforme f. elongatum	1339250
worms	Chaetophora pisiformis	1341822
worms	Rivularia pisiformis	1341822
worms	Oxytoxum mucronatum	1341825
worms	Chroococcus aphanocapsoides	1345052
worms	Platymonas	134526
worms	Schilleriomonas	134527
worms	Anisomonas	134534
worms	Cardiomonas	134535
worms	Heteromastix minuta	134540
worms	Anisomonas longifilis	134541
worms	Anisonema longifilis	134541
worms	Bipedinomonas longifilis	134541
worms	Bipedinomonas pyriformis	134541
worms	Heteromastix longifilis	134541
worms	Nephroselmis longifilis	134541
worms	Pseudoscourfieldia longifilis	134541
worms	Bipedinomonas rotunda	134542
worms	Heteromastix rotunda	134542
worms	Platymonas contracta	134544
worms	Nephroselmis gilva	134562
worms	Micromonas squamata	134563
worms	Chromulina pusilla	134564
worms	Scourfieldia marina	134566
