strain_name	species	division	class	habitat	strain_link	species_link	scientific_name	taxon_id	url_slug
K-0380	Tetraselmis sp.	Chlorophyta	Chlorodendrophyceae	Marine	https://norcca.scrol.net/strain/k-0380	https://norcca.scrol.net/species/tetraselmis-sp	Tetraselmis	134526	k-0380
K-0385	Vaucheria canalicularis	Ochrophyta	Xanthophyceae	Freshwater, The river Cam	https://norcca.scrol.net/strain/k-0385	https://norcca.scrol.net/species/vaucheria-canalicularis	Vaucheria canalicularis	238754	k-0385
K-0387	Vaucheria erythrospora	Ochrophyta	Xanthophyceae	Brackish, dry part of salt marsh	https://norcca.scrol.net/strain/k-0387	https://norcca.scrol.net/species/vaucheria-erythrospora	Vaucheria erythrospora	146022	k-0387
K-0388	Vaucheria synandra	Ochrophyta	Xanthophyceae	Brackish, Estuary	https://norcca.scrol.net/strain/k-0388	https://norcca.scrol.net/species/vaucheria-synandra	Vaucheria synandra	146031	k-0388
K-0394	Prymnesium nemamethecum	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-0394	https://norcca.scrol.net/species/prymnesium-nemamethecum	Prymnesium nemamethecum	345517	k-0394
K-0399	Apocalathium malmogiense	Myzozoa	Dinophyceae	Marine, Sea Ice	https://norcca.scrol.net/strain/k-0399	https://norcca.scrol.net/species/apocalathium-malmogiense	Apocalathium malmogiense	1380043	k-0399
K-0400	Vaucheria bursata	Ochrophyta	Xanthophyceae	Freshwater	https://norcca.scrol.net/strain/k-0400	https://norcca.scrol.net/species/vaucheria-bursata	Vaucheria bursata	240524	k-0400
K-0404	Haematococcus sp.	Chlorophyta	Chlorophyceae	Freshwater, Birdbath	https://norcca.scrol.net/strain/k-0404	https://norcca.scrol.net/species/haematococcus-sp	Haematococcus	428522	k-0404
K-0406	Amphidinium carterae	Myzozoa	Dinophyceae	Marine, Sediment	https://norcca.scrol.net/strain/k-0406	https://norcca.scrol.net/species/amphidinium-carterae	Amphidinium carterae	109723	k-0406
K-0407	Ulvella viridis	Chlorophyta	Ulvophyceae	Marine, Epiphyte on Derbesia balbisiana or Bryopsis disticha	https://norcca.scrol.net/strain/k-0407	https://norcca.scrol.net/species/ulvella-viridis	Ulvella viridis	732259	k-0407
K-0408	Synechococcus sp.	Cyanobacteria	Cyanophyceae	Marine	https://norcca.scrol.net/strain/k-0408	https://norcca.scrol.net/species/synechococcus-sp	Synechococcus	160572	k-0408
K-0417	Bathycoccus prasinos	Chlorophyta	Mamiellophyceae	Marine	https://norcca.scrol.net/strain/k-0417	https://norcca.scrol.net/species/bathycoccus-prasinos	Bathycoccus prasinos	345459	k-0417
