List	HELCOM area	OSPAR area	Division	Class	Order	Genus	Species	SFLAG	STAGE	Author	AphiaID	AphiaID_link	Trophy	Geometric_shape	FORMULA	SizeClassNo	Nonvalid_SIZCL	Not_accepted_name	Unit	SizeRange	Length(l1)µm	Length(l2)µm	Width(w)µm	Height(h)µm	Diameter(d1)µm	Diameter(d2)µm	No_of_cells/counting_unit	Calculated_volume_um3	Comment	Filament_length_of_cell(µm)	Calculated_Carbon_pg/counting_unit	Comment_on_Carbon_calculation	Corrections/Additions	Synonyms - NOT IMPORTED, NOT handled by ICES	WORMS Rank	"Comment_on_colony_form
 "" - "" indicates solitary life form, i.e. does nor form colonies  - NOT IMPORTED, NOT handled by ICES"
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium acutum var. acutum			Brébisson 1848	1304621	http://www.marinespecies.org/aphia.php?p=taxdetails&id=1304621	AU	2 cones	?/12*d^2*h	1			cell	 4x100-150				126	4		1	527,52			77,73849101				Variety	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium acutum var. acutum			Brébisson 1848	1304621	http://www.marinespecies.org/aphia.php?p=taxdetails&id=1304621	AU	2 cones	?/12*d^2*h	2			cell	 5x100-150				129	5		1	843,875			120,8450614				Variety	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium acutum var. acutum			Brébisson 1848	1304621	http://www.marinespecies.org/aphia.php?p=taxdetails&id=1304621	AU	2 cones	?/12*d^2*h	3			cell	 6x100-150				132	6		1	1243,44			173,9027582				Variety	 -
PEG_BVOL2021	x		CHLOROPHYTA	Chlorophyceae			Chlorophyceae				802	http://www.marinespecies.org/aphia.php?p=taxdetails&id=802	AU	sphere	?/6*d^3	1			cell	 2-4					3		1	14,13			2,596792458	*			Class	
PEG_BVOL2021	x		CHLOROPHYTA	Chlorophyceae			Chlorophyceae				802	http://www.marinespecies.org/aphia.php?p=taxdetails&id=802	AU	sphere	?/6*d^3	2			cell	4-6					5		1	65,41666667			10,94927009				Class	
PEG_BVOL2021	x		CHLOROPHYTA	Chlorophyceae			Chlorophyceae				802	http://www.marinespecies.org/aphia.php?p=taxdetails&id=802	AU	sphere	?/6*d^3	3			cell	6-8					7		1	179,5033333			28,25061101				Class	
PEG_BVOL2021	x		CHLOROPHYTA	Chlorophyceae			Chlorophyceae				802	http://www.marinespecies.org/aphia.php?p=taxdetails&id=802	AU	rotational ellipsoid	?/6*d^2*l	4			cell	4-6x6-10	8				5		1	104,6666667			17,02369511				Class	
PEG_BVOL2021	x		CHLOROPHYTA	Chlorophyceae			Chlorophyceae				802	http://www.marinespecies.org/aphia.php?p=taxdetails&id=802	AU	rotational ellipsoid	?/6*d^2*l	5			cell	 6-10x11-15 	13				8		1	435,4133333			64,92059178				Class	
PEG_BVOL2021	x		CHLOROPHYTA	Ulvophyceae	ULOTHRICHALES	Ulotrichales	Ulotrichales			Borzi 1895	824	http://www.marinespecies.org/aphia.php?p=taxdetails&id=824	AU	cylinder	?/4*d^2*h	1			cell	2-4x10-14				12	3		1	84,78			13,96758314				Order	
PEG_BVOL2021	x		CHLOROPHYTA	Chlorodendrophyceae	CHLORODENDRALES	Chlorodendrales	Chlorodendrales				17666	http://www.marinespecies.org/aphia.php?p=taxdetails&id=17666	AU	sphere-20%	?/6*d^3*0.8	1			cell	6-8					7		1	143,6026667			22,9102244				Order	 -
