taxon_id	itis_id	url
109882	10108	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10108
109889	10122	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10122
109890	331287	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=331287
109891	10160	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10160
109896	331298	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=331298
109902	10146	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10146
109903	10144	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10144
109907	10129	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10129
109920	331429	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=331429
109921	10150	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10150
109925	573519	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573519
109992	573441	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573441
109993	10486	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10486
109998	10577	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10577
11	46211	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=46211
110001	10171	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10171
110007	615885	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=615885
110015	573390	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573390
110035	10371	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10371
110039	10372	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10372
110041	10361	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10361
110045	550478	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=550478
110067	573520	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573520
110082	573453	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573453
110086	10477	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10477
110097	550489	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=550489
110114	10471	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10471
110115	10472	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10472
110130	10168	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10168
110139	10200	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10200
110140	10183	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10183
110154	10353	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10353
110155	10194	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10194
110156	573517	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573517
110159	10196	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10196
110181	10335	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10335
110183	10329	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10329
110197	10301	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10301
110198	10256	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10256
110199	10499	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10499
110205	10242	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10242
110206	10304	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10304
110208	10210	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10210
110209	10255	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10255
110210	10215	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10215
110211	10344	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10344
110212	10248	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10248
110213	10220	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10220
110214	10306	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10306
110215	10250	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10250
110216	180928	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=180928
110217	10224	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10224
110219	550482	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=550482
110220	10226	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10226
110223	10228	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10228
110227	10286	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10286
110229	10282	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10282
110234	10312	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10312
110238	10277	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10277
110239	10275	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10275
110240	10273	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10273
110241	10237	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10237
110244	10233	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10233
110245	10235	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10235
110247	10270	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10270
110248	10267	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10267
110249	10265	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10265
110250	10341	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10341
110258	10320	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10320
110259	10259	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10259
110260	10239	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10239
110269	183936	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183936
110291	9886	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9886
110293	9888	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9888
110294	9914	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9914
110300	9901	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9901
110301	9893	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9893
