scientific_name	rank	aphia_id	parent_name	parent_id	authority	status	kingdom	phylum	class	order	family	genus	classification
Limnococcus	Genus	576249	Chroococcaceae	146544	(Komárek & Anagnostidis) Komárková, Jezberová, O.Komárek & Zapomelová, 2010	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcaceae	Limnococcus	[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Chroococcales - [Family] Chroococcaceae - [Genus] Limnococcus
Gomphosphaeriaceae	Family	599618	Chroococcales	146543		accepted	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Gomphosphaeriaceae		[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Chroococcales - [Family] Gomphosphaeriaceae
Gomphosphaeria	Genus	146570	Gomphosphaeriaceae	599618	Kützing, 1836	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Gomphosphaeriaceae	Gomphosphaeria	[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Chroococcales - [Family] Gomphosphaeriaceae - [Genus] Gomphosphaeria
Gomphosphaerioideae	Subfamily	146616	Merismopediaceae	146608		accepted	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Merismopediaceae		[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Synechococcophycideae - [Order] Synechococcales - [Family] Merismopediaceae - [Subfamily] Gomphosphaerioideae
Coelosphaerium	Genus	146573	Gomphosphaerioideae	146616	Nägeli, 1849	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Merismopediaceae	Coelosphaerium	[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Synechococcophycideae - [Order] Synechococcales - [Family] Merismopediaceae - [Subfamily] Gomphosphaerioideae - [Genus] Coelosphaerium
Nostocophycideae	Subclass	368681	Cyanophyceae	146542		accepted	Bacteria	Cyanobacteria	Cyanophyceae				[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Nostocophycideae
Nostocales	Order	146547	Nostocophycideae	368681		accepted	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales			[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Nostocophycideae - [Order] Nostocales
Aphanizomenonaceae	Family	836361	Nostocales	146547	Elenkin	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae		[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Nostocophycideae - [Order] Nostocales - [Family] Aphanizomenonaceae
Snowella	Genus	146644	Gomphosphaerioideae	146616	Elenkin, 1938	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Merismopediaceae	Snowella	[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Synechococcophycideae - [Order] Synechococcales - [Family] Merismopediaceae - [Subfamily] Gomphosphaerioideae - [Genus] Snowella
Spirulinales	Order	1293730	Oscillatoriophycideae	368682	J.Komárek, J.Kastovsky, J.Mares & J.R.Johansen, 2014	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Spirulinales			[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Spirulinales
Spirulinaceae	Family	599619	Spirulinales	1293730	(Gomont) L.Hoffmann, J.Komárek & J.Ka in J.Komárek et al., 2014	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Spirulinales	Spirulinaceae		[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Spirulinales - [Family] Spirulinaceae
Spirulina	Genus	146541	Spirulinaceae	599619	Turpin ex Gomont, 1892	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Spirulinales	Spirulinaceae	Spirulina	[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Spirulinales - [Family] Spirulinaceae - [Genus] Spirulina
Leptolyngbyaceae	Family	836372	Synechococcales	345514		accepted	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Leptolyngbyaceae		[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Synechococcophycideae - [Order] Synechococcales - [Family] Leptolyngbyaceae
Leptolyngbyoideae	Subfamily	146709	Leptolyngbyaceae	836372		accepted	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Leptolyngbyaceae		[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Synechococcophycideae - [Order] Synechococcales - [Family] Leptolyngbyaceae - [Subfamily] Leptolyngbyoideae
Coscinodiscophycidae	Subclass	148971	Bacillariophyceae	148899	Round & Crawford, 1990	accepted	Chromista	Ochrophyta	Bacillariophyceae				[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Coscinodiscophycidae
Thalassiosiranae	Superorder	591189	Coscinodiscophycidae	148971		accepted	Chromista	Ochrophyta	Bacillariophyceae				[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Coscinodiscophycidae - [Superorder] Thalassiosiranae
Thalassiosirales	Order	148903	Thalassiosiranae	591189	Glezer & Makarova, 1986	accepted	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales			[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Coscinodiscophycidae - [Superorder] Thalassiosiranae - [Order] Thalassiosirales
